Sampling_week,Treatment,Mesocosm,BLOCK,sum_det_mass_mg,sum_pred_mass_mg,Ladybirds,Prochloraz_soil_ng_g,Azoxystrobin_soil_ng_g,Cypermethrin_soil_ng_g,AZO_0.5,PCZ_0.5,CYP_0.5,Wingless_Aphis_Fabae
W2,Cy.X.Pr,Meso_43,3,39.09240111,9.783690681,1,NA,NA,NA,0,1,1,0
W2,Cy.X.Pr,Meso_44,4,21.47179119,0.82450671,0,NA,NA,NA,0,1,1,3300
W2,Cy.X.Pr,Meso_46,1,75.48362957,6.811542994,1,NA,NA,NA,0,1,1,3
W2,Cy.X.Pr,Meso_57,2,144.5065788,19.79345992,0,NA,NA,NA,0,1,1,11
W2,Pr.,Meso_14,4,49.55508533,11.67695091,1,NA,NA,NA,0,1,0,7
W2,Pr.,Meso_27,2,72.66570519,12.09981261,4,NA,NA,NA,0,1,0,319
W2,Pr.,Meso_33,3,38.11717793,42.58974529,1,NA,NA,NA,0,1,0,1690
W2,Pr.,Meso_41,1,53.27373494,2.993673355,0,NA,NA,NA,0,1,0,380
W2,Pr.,Meso_55,5,6.495071833,17.16344142,1,NA,NA,NA,0,1,0,1300
W2,Pr.X.Az,Meso_11,1,31.29282205,3.673483778,0,NA,NA,NA,1,1,0,1650
W2,Pr.X.Az,Meso_52,2,142.6912433,4.89054031,0,NA,NA,NA,1,1,0,400
W2,Pr.X.Az,Meso_54,4,33.96071537,1.709856143,0,NA,NA,NA,1,1,0,850
W2,Pr.X.Az,Meso_58,3,37.28232347,10.51659277,7,NA,NA,NA,1,1,0,1400
W2,Pr.X.Az,Meso_60,5,175.7551277,2.312970231,0,NA,NA,NA,1,1,0,1350
W4,Az.,Meso_17,2,36.01782318,10.53940604,0,NA,NA,NA,1,0,0,10
W4,Az.,Meso_26,1,28.24152144,31.14955801,0,NA,NA,NA,1,0,0,1500
W4,Az.,Meso_39,4,28.27717215,21.35391235,1,NA,NA,NA,1,0,0,1600
W4,Az.,Meso_45,5,52.0208994,13.40536961,7,NA,NA,NA,1,0,0,1600
W4,Az.,Meso_48,3,5.834527278,15.16474413,3,NA,NA,NA,1,0,0,11
W4,Cont.,Meso_29,4,73.91359802,44.94713802,3,NA,NA,NA,0,0,0,1000
W4,Cont.,Meso_31,1,23.53931422,1.104418709,0,NA,NA,NA,0,0,0,1900
W4,Cont.,Meso_40,5,1.137950565,47.44631158,17,NA,NA,NA,0,0,0,500
W4,Cont.,Meso_42,2,8.132078258,46.22955179,40,NA,NA,NA,0,0,0,1400
W4,Cont.,Meso_53,3,24.32133806,21.72762198,6,NA,NA,NA,0,0,0,5
W4,Cy.,Meso_13,3,32.69711217,9.451626962,1,NA,NA,NA,0,0,1,0
W4,Cy.,Meso_22,2,34.75061,0.994395343,0,NA,NA,NA,0,0,1,300
W4,Cy.,Meso_25,5,10.92442021,7.102574767,0,NA,NA,NA,0,0,1,130
W4,Cy.,Meso_34,4,12.4860604,17.04156001,1,NA,NA,NA,0,0,1,2
W4,Cy.,Meso_51,1,26.42303779,0.312460439,0,NA,NA,NA,0,0,1,0
W4,Cy.X.Az,Meso_21,1,20.105714,4.929014591,0,NA,NA,NA,1,0,1,70
W4,Cy.X.Az,Meso_35,5,6.036907851,0,0,NA,NA,NA,1,0,1,2
W4,Cy.X.Az,Meso_38,3,40.9290399,0.696759576,0,NA,NA,NA,1,0,1,50
W4,Cy.X.Az,Meso_47,2,10.55632569,6.243423693,0,NA,NA,NA,1,0,1,31
W4,Cy.X.Az,Meso_59,4,130.7532825,15.77906958,2,NA,NA,NA,1,0,1,1600
W4,Cy.X.Pr,Meso_15,5,6.123497414,8.637804512,2,NA,NA,NA,0,1,1,5
